X,Y,Avg Error per XY, STDev per XY
240,120,552,552
360,120,85.73701317347553,11.807899949339665
480,120,81.55611974960065,16.375223728784896
600,120,44.54152766107606,29.25152902707528
720,120,110.78125129692337,50.72850678331087
840,120,408.4430182361567,288.1795828143657
960,120,297.39044208848543,293.4651926215214
1080,120,149.11228945342674,92.62467949756946
1080,240,318.85272658664036,109.04750767890569
840,240,136.76943001737004,114.71276405032457
720,240,193.2039155894992,327.09542473036333
600,240,167.30051275173102,86.26312879573022
480,240,38.82941146162246,19.53073523673316
360,240,61.71795268281573,13.572966268107708
240,240,552,552
120,240,552,552
120,360,163.3310537609836,51.083926114149456
240,360,64.97832720744952,45.44923864064476
360,360,36.734859986017845,21.24101756441761
480,360,175.9912162255003,113.73718890560593
600,360,68.51157238742212,14.190755201081123
720,360,98.03316523798871,58.43893296165195
840,360,37.19754451687364,18.137201336397748
960,360,137.28741191116595,45.84564073231104
1080,360,295.3782063931448,70.76370098973642
1080,480,552,552
960,480,552,552
840,480,552,552
720,480,48.575225041636386,23.403222724252743
600,480,117.8705005383194,318.8038150144678
480,480,88.13942839064421,94.16441865583617
360,480,87.82674207070774,64.35041841185436
240,480,197.2658975251006,135.67528728504232
120,480,323.73909590758257,269.9988270430259
Row,Avg Error per Row, STDev per Row
1,-1,0.0
2,-1,0.0
3,119.40080426066623,198.77026263632263
4,-1,0.0
5,50.7353979822165,80.92032937289027
6,-1,0.0
7,95.6035213852228,174.4258126477532
8,-1,0.0
9,81.74103150757831,153.32374206379814
10,-1,0.0
11,-1,0.0
Col,Avg Error per Col, STDev per Col
1,-1,0.0
2,-1,0.0
3,93.73364996986965,184.2688434972982
4,-1,0.0
5,123.5676567938682,220.1345937085452
6,-1,0.0
7,24.092415264819714,37.208921599525375
8,-1,0.0
9,34.31965234794251,58.26780155326566
10,-1,0.0
11,35.5658284853226,58.867214973365456
12,-1,0.0
13,40.32668701509524,66.09737821631269
14,-1,0.0
15,102.49181752458185,193.9267733441694
16,-1,0.0
17,88.97071399996831,180.25738294686997
18,-1,0.0
19,118.94029294847381,189.80150019861597
20,-1,0.0
21,-1,0.0
Area A,Area B,Area C
13,12,9
Total AVG error,Total STDev
216.09105464262825,182.39242026069985
